CVEGEO	pop
090080001018A	2321
0900800010194	3249
0900800010207	5197
0900800010211	5516
0900800010226	3917
0900800010230	4286
0900800010245	2847
090080001025A	3734
0900800010264	5201
0900800010283	4642
0900800010298	2262
0900800010300	6547
0900800010315	4031
090080001032A	5394
0900800010334	2848
0900800010349	9652
0900800010353	4361
0900800010387	9890
0900800010404	8605
0900800010423	8887
0900800010438	6170
0900800010457	7657
0900800010461	9520
0900800010476	6192
0900800010495	4250
0900800010508	1233
0900800010512	8047
0900800010527	8287
0900800010531	4235
0900800010546	5931
0900800010550	6008
0900800010565	4313
090080001057A	9341
0900800010584	5314
0900800010599	1898
0900900010026	3378
0900900010308	3177
0900900010312	4448
0900900010327	2324
0900900010331	2761
0900900010492	416
0900900010505	722
0900900010562	987
0900900110401	10423
0900900110416	3231
0900900110420	7426
0900900110435	5442
090090011051A	971
0900900110543	275
090090015012A	4933
0900900170365	4952
090090017037A	3368
0900900170384	3799
0900900170399	1635
0900900170558	165
0900900240191	5998
0900900240204	4866
0900900240219	4502
0900900240577	1152
0900900240581	382
0900900240596	681
0900900240651	134
090090029044A	1588
0900900290454	1395
0900900290469	3035
0900900290473	3057
0900900290609	159
0900900330346	5875
0900900330350	9142
0900900330488	1830
0900900360223	3527
0900900360238	3357
0900900360242	4831
0900901520613	2338
0900901520628	1950
0900903000632	2109
0900903000647	1969
0901000010012	1720
0901000010027	2510
0901000010031	3440
0901000010046	5330
0901000010050	4144
0901000010065	5548
0901000010084	2608
0901000010099	3822
0901000010101	1491
0901000010116	4232
0901000010135	21198
090100001014A	4198
0901000010169	2493
0901000010173	4303
0901000010188	675
0901000010192	654
0901000010205	532
090100001021A	678
0901000010224	499
0901000010239	975
0901000010243	7522
0901000010258	734
0901000010262	451
0901000010277	456
0901000010281	237
0901000010296	2489
0901000010309	3842
0901000010313	5423
0901000010328	6914
0901000010332	4719
0901000010347	3737
0901000010351	4430
0901000010370	3343
0901000010385	3058
0901000010417	1933
0901000010421	5467
0901000010440	4748
0901000010455	3157
0901000010474	9421
0901000010489	3751
0901000010493	4638
0901000010506	2719
0901000010510	3573
0901000010525	2348
090100001053A	4574
0901000010544	2482
0901000010559	2371
0901000010563	9225
0901000010578	6964
0901000010597	3848
090100001060A	2671
0901000010614	2078
0901000010629	2510
0901000010633	1888
0901000010648	1560
0901000010667	5010
0901000010671	4314
0901000010686	2695
0901000010690	3546
0901000010703	1913
0901000010718	969
0901000010722	2280
0901000010737	621
0901000010741	3250
0901000010756	1488
0901000010760	841
0901000010775	1396
090100001078A	1113
0901000010794	757
0901000010807	1866
0901000010811	1230
0901000010826	779
0901000010830	774
0901000010845	1543
0901000010864	5942
0901000010898	2279
0901000010900	2362
0901000010915	2776
090100001092A	2553
0901000010949	1094
0901000010953	1943
0901000010968	4987
0901000010972	3219
0901000010987	1969
0901000010991	2679
0901000011006	2910
0901000011010	2582
0901000011025	681
090100001103A	1813
0901000011044	2563
0901000011059	3145
0901000011063	3028
0901000011078	5883
090100001110A	3881
0901000011114	864
0901000011129	1218
0901000011133	2203
0901000011148	5277
0901000011152	2719
0901000011171	13918
0901000011186	3320
0901000011190	3425
0901000011203	396
0901000011218	2825
0901000011222	4628
0901000011237	4443
0901000011241	5752
0901000011260	3638
0901000011275	3017
090100001128A	2309
0901000011294	3322
0901000011307	2914
0901000011330	8619
0901000011345	7215
090100001135A	6908
0901000011364	6072
0901000011379	2298
0901000011434	5554
0901000011453	4876
0901000011468	2600
0901000011472	3788
0901000011487	4629
0901000011519	4650
0901000011523	3528
0901000011542	2898
0901000011557	6638
0901000011561	3060
0901000011580	6453
0901000011595	6197
0901000011627	5748
0901000011631	4992
0901000011646	4731
0901000011650	4628
0901000011665	1940
090100001167A	8067
0901000011684	5661
0901000011699	9388
0901000011716	7042
0901000011720	4093
0901000011735	9161
090100001174A	9998
0901000011754	3230
0901000011769	9985
0901000011773	4680
0901000011788	4219
0901000011792	3160
0901000011805	3603
090100001181A	5355
0901000011824	4908
0901000011839	4896
0901000011843	8392
0901000011858	12053
0901000011881	4044
0901000011913	3983
0901000011928	2144
0901000011932	2659
0901000011947	4280
0901000011951	6009
0901000011966	3156
0901000011970	4427
0901000011985	4355
090100001199A	3207
0901000012004	0
0901000012019	3273
0901000012023	4169
0901000012038	4207
0901000012042	3847
0901000012057	3669
0901000012061	8541
0901000012076	3152
0901000012080	2501
0901000012095	5597
0901000012108	3889
0901000012112	9888
0901000012131	1859
0901000012146	2832
0901000012150	4588
0901000012165	3201
0901000012184	1979
0901000012199	4398
0901000012201	3148
0901000012216	4171
0901000012220	3537
0901000012235	2796
090100001224A	3148
0901000012254	4676
0901000012269	1809
0901000012273	80
0901000012288	5792
0901000012292	6933
0901000012305	4002
090100001231A	2927
0901000012324	2742
0901000012339	3534
0901000012343	4863
0901000012358	3083
0901000012362	2279
0901000012377	2502
0901000012381	21
090110001001A	5957
0901100010039	6748
0901100010043	5601
0901100010058	4075
0901100010077	3150
0901100010096	3480
0901100010113	2643
0901100010128	3792
0901100010132	5343
0901100010147	3155
0901100010151	1796
0901100010166	2853
0901100010170	4060
0901100010185	4384
0901100010202	3995
0901100010217	5895
0901100010240	3183
0901100010255	1754
090110001026A	2090
0901100010274	3768
0901100010289	3179
0901100010306	2664
0901100010310	3465
0901100010325	3675
0901100010344	1211
0901100010359	2251
0901100010363	2660
0901100010378	2181
0901100010382	1053
0901100010397	1728
090110001040A	1655
0901100010414	1716
0901100010433	2480
0901100010448	1599
0901100010452	9689
0901100010575	5666
0901100010594	7502
0901100010607	5135
0901100010626	3835
0901100010630	2814
0901100010645	4898
090110001065A	3703
0901100010664	6573
0901100010679	3892
0901100010753	8372
0901100010768	18
0901100010772	2516
0901100010804	183
0901100010819	2145
0901100010823	444
0901100010927	3863
0901100010931	4259
0901100010946	3676
0901100010950	7862
0901100010984	4106
0901100010999	2558
0901100011056	1877
0901100011075	2196
090110001108A	2415
0901100011094	548
0901100011111	4445
0901100011145	3396
090110001122A	3513
0901100011234	2980
0901100011249	5265
0901100011253	2582
0901100011268	4936
0901100011272	2822
0901100011287	1979
0901100011291	3091
0901100011304	1301
0901100011319	1886
0901100011323	702
0901100011338	3577
0901100011342	945
0901100011357	9088
0901100011361	4873
0901100011376	7148
0901100011380	2511
0901100011395	1799
0901100011412	3617
0901100011427	5292
0901100011431	5167
0901100011446	3561
0901100011450	3046
0901100011465	4499
090110001147A	4283
0901100011484	5241
0901100011499	6166
0901100011535	1920
090110001154A	2156
090110011072A	4723
0901100111037	4071
0901100111041	5116
0901100210787	1696
0901100210791	406
0901100211003	11218
0901100211018	3055
0901100211022	2720
090110021115A	8857
0901100211516	75
0901100240734	2619
0901100240749	306
0901100241183	1088
0901100241408	832
0901100241520	74
0901100260965	4504
090110026097A	4795
0901100261164	2209
0901100261501	136
0901101101107	3050
0901200010017	1691
0901200010021	671
0901200010040	1162
0901200010074	1813
0901200010089	0
0901200010093	1875
0901200010106	305
0901200010125	3367
090120001013A	3264
0901200010144	2232
0901200010159	3220
0901200010163	3244
0901200010178	2841
0901200010182	6006
0901200010197	1985
090120001020A	1693
0901200010214	1867
0901200010229	1868
0901200010233	3761
0901200010248	576
0901200010267	1902
0901200010303	5375
0901200010318	3591
0901200010322	4837
0901200010337	4009
0901200010341	2923
0901200010360	4479
0901200010375	1884
090120001038A	769
0901200010394	1458
0901200010407	935
0901200010411	1095
0901200010426	2154
0901200010430	2844
0901200010445	2730
090120001045A	3668
0901200010464	1353
0901200010479	681
0901200010483	3367
0901200010498	2920
0901200010500	7264
0901200010515	4311
090120001052A	3220
0901200010534	1952
0901200010549	2808
0901200010553	4048
0901200010568	3668
0901200010572	3323
0901200010587	2820
0901200010591	938
0901200010604	4628
0901200010619	3406
0901200010623	3257
0901200010638	3105
0901200010642	2514
0901200010657	1833
0901200010661	1039
0901200010676	3407
0901200010680	1570
0901200010695	142
0901200010708	4664
0901200010712	2381
0901200010727	2064
0901200010731	1730
0901200010746	1681
0901200010750	1093
0901200010765	2229
090120001077A	5418
0901200010784	3857
0901200010799	3477
0901200010801	3896
0901200010816	3627
0901200010820	3260
0901200010835	2361
090120001084A	2339
0901200010854	1138
0901200010869	4651
0901200010888	4587
0901200010892	5607
0901200010905	4546
090120001091A	3968
0901200010924	5214
0901200010939	3144
0901200010943	2352
0901200010958	1529
0901200010962	1858
0901200010977	221
0901200010981	2639
0901200010996	695
0901200011000	1790
0901200011015	1631
090120001102A	3038
0901200011034	1194
0901200011049	37
0901200011053	1405
0901200011068	2082
0901200011072	9407
0901200011087	1070
0901200011091	977
0901200011104	3069
0901200011119	4921
0901200011123	3913
0901200011142	3328
0901200011157	5346
0901200011161	5990
0901200011176	3254
0901200011195	5300
0901200011212	3550
0901200011299	5328
0901200011316	6902
0901200011369	5374
0901200011388	3739
0901200011424	4485
0901200011439	3716
0901200011443	4658
0901200011458	3878
0901200011462	11014
0901200011477	6749
0901200011481	5592
0901200011496	8186
0901200011509	5341
0901200011513	5884
0901200011547	2859
0901200011566	305
0901200011570	7052
0901200011585	1883
090120001159A	3741
0901200011602	5746
0901200011617	6711
0901200011621	5835
